paper_id	source	sent_idx	sentence	silver_label	silver_confidence	silver_rationale	gold_label	notes
quant-ph/0402095	gold	10	This reduction is formalized in Theorem REF .	none	0.85	This sentence refers to a formalization of a reduction, which is descriptive.		
quant-ph/0402095	gold	11	But what about the direct product theorem itself?	none	0.85	This sentence raises a question about a theorem but does not state a limitation or future work.		
quant-ph/0402095	gold	12	It seems like it should be trivial to prove—for surely there are no devious correlations by which success in finding one marked item leads to success in finding all the others!	none	0.85	This sentence expresses surprise about the difficulty of proving a theorem, which is more of an observation than a limitation or future work.		
quant-ph/0402095	gold	13	So it is surprising that even a weak direct product theorem eluded proof for years.	none	0.85	This sentence describes an attempted proof by another researcher, which is historical context.		
quant-ph/0402095	gold	14	In 2001, Klauck {{cite:888d098e5e870361a39ad04d41f5d2d0cf41c5d0}} gave an attempted proof using the hybrid method of Bennett et al. {{cite:5a0a45badcd919053d8a7a3922bd95e2fdb29e2d}}.	none	0.85	This sentence explains the motivation behind a previous proof attempt, which is context.		
quant-ph/0402095	gold	15	His motivation was to show a limitation of space-bounded quantum sorting algorithms.	limitation	0.95	The sentence states that a previous proof is fallacious, indicating a limitation in the prior work.		
quant-ph/0402095	gold	16	Unfortunately, Klauck's proof is fallacious.Specifically, the last sentence in the proof of Lemma 5 in {{cite:888d098e5e870361a39ad04d41f5d2d0cf41c5d0}} (“Clearly this probability is at least {{formula:ec55e323-51e0-41ba-a80f-92031d5f9f3c}} ”) is not justified by what precedes it.	none	0.85	This sentence describes the content of a section in the paper, which is descriptive.		
quant-ph/0402095	gold	17	In this section we give the first correct proof of a direct product theorem, based on the polynomial method of Beals et al. {{cite:2ff31b7d2c85795fb7aa3a59f30e11016425df62}}.	none	0.85	This sentence describes the results and applications of the current work, not a limitation or future work.		
quant-ph/0402095	gold	18	Besides showing that {{formula:5917a3d5-d354-45bc-955c-79829cc2f6d3}} relative to an oracle, our result can be used to recover the conclusions in {{cite:888d098e5e870361a39ad04d41f5d2d0cf41c5d0}} about the hardness of quantum sorting (see Klauck, Špalek, and de Wolf {{cite:06463ca2447dbe41a8c68e403f92ac00ac00372c}} for details).	none	0.85	This sentence expresses an expectation about the applicability of results, which is speculative but not a concrete future work statement.		
quant-ph/0402095	gold	19	We expect the result to have other applications as well.	none	0.85	This sentence introduces a lemma needed for the proof, which is methodological context.		
quant-ph/0402095	gold	20	We will need the following lemma of Beals et al. {{cite:2ff31b7d2c85795fb7aa3a59f30e11016425df62}}, which builds on ideas due to Minsky and Papert {{cite:e80b0fcf434d4fc9e8b162616c52f3ba69e7c91f}} and Nisan and Szegedy {{cite:725054b550aab0096c88e39fa7821f9b35461194}}.	none	0.85	This sentence states a lemma, which is part of the methodological context.		
quant-ph/0402095	gold	21	Lemma 8 (Beals et al.) Suppose a quantum algorithm makes {{formula:90e0d646-aaf3-4b41-b65d-9c9e9875025c}} queries to an oracle string {{formula:2763609d-a0f6-4634-a80c-2fa64afd5b40}} , and accepts with probability {{formula:16380923-b392-44cb-aab1-fd8359853e86}} .	none	0.85	This sentence describes the implications of a lemma, which is methodological context.		
quant-ph/0402095	gold	22	Then there exists a real polynomial {{formula:ea92505b-8f2c-4222-8520-d5138c458fa7}} , of degree at most {{formula:5060dc8c-7614-42a9-ba39-aa0797a15f0e}} , such that {{formula:e3398475-1404-4ff1-8301-b957b3fffae2}} for all integers {{formula:28fbb9ed-8a84-4207-9eeb-b0337e2dab33}} , where {{formula:a370d7fa-490f-4bb6-a153-e0aa227603b1}} denotes the Hamming weight of {{formula:50192fc8-3583-497a-a228-b94c15c89b18}} .	none	0.85	This sentence provides an example of applying a lemma, which is descriptive.		
quant-ph/0402095	gold	23	Lemma REF implies that, to lower-bound the number of queries {{formula:90cde610-dd9c-4e6b-83b2-b79733122b21}} made by a quantum algorithm, it suffices to lower-bound {{formula:f8a32482-dc1f-444b-8a8e-9974239d92c4}} , where {{formula:4462e10b-fe2f-4b96-a02c-17f3b1fd35f8}} is a real polynomial representing the algorithm's expected acceptance probability.	none	0.85	This sentence describes a method for lower-bounding a polynomial degree, which is methodological context.		
quant-ph/0402095	gold	24	As an example, any quantum algorithm that computes the {{formula:c25b947d-e50d-4dad-8fe7-40050edf8b88}} function on {{formula:9ef90991-dd30-4f65-9366-9816cb7232a9}} bits, with success probability at least {{formula:a6941751-8c9d-4af1-b6a8-f98fadd0c1a0}} , yields a polynomial {{formula:409ff78b-e68a-44c8-9a66-033d24602a5f}} such that {{formula:2449537b-38c2-4253-8b57-3387606a52fc}} and {{formula:8a9b240f-f502-4d24-9e82-43ea717ca951}} for all integers {{formula:b7f3eb90-14b4-48fd-a1e3-377d039732e7}} .	none	0.85	This sentence introduces a theorem, which is part of the methodological context.		
quant-ph/0402095	gold	25	To lower-bound the degree of such a polynomial, one can use an inequality proved by A.	none	0.85	This sentence states a theorem, which is part of the methodological context.		
quant-ph/0402095	gold	26	Markov in 1890 ({{cite:b7a0d73113cd2a0120e6e70f2c6ea2cce5fdd5a7}}; see also {{cite:2aee7715d677ba1aa57f4a27c86619d3b4da385d}}): Theorem 9 (A.	none	0.85	This sentence describes the application of a theorem, which is methodological context.		
quant-ph/0402095	gold	27	Markov) Given a real polynomial {{formula:f96e60c1-0f87-41c0-a28a-576acfe3772f}} and constant {{formula:7ec66d28-a51d-4d28-bbec-0800070e958e}} , let {{formula:f4e14ba8-c06f-4c4f-ada2-5ce604ed8f28}} and {{formula:f5a9f944-162b-4337-95b1-acb0d5bf9bf9}} .	none	0.85	This sentence describes the implications of a theorem, which is methodological context.		
quant-ph/0402095	gold	28	Then {{formula:4a314e50-4820-480b-bf43-ca15ae93a803}} Theorem REF deals with the entire range {{formula:c22a6371-2f19-4ba4-96ff-a56d41a49bd7}} , whereas in our setting {{formula:0eea01d1-ae7e-4c2b-9321-badac7d072c8}} is constrained only at the integer points {{formula:b65a33ee-0829-4b8c-b3c7-9ad4ac687cb4}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	29	But as shown in {{cite:3c844c4456b933ddb5093002ffc74eca0f96436d}}, {{cite:725054b550aab0096c88e39fa7821f9b35461194}}, {{cite:bae7bc93aeaa23f3c16a252d850e58f76a54cf9c}}, this is not a problem.	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	30	For by elementary calculus, {{formula:7df971bf-7352-492b-9990-b55bd5a13bbb}} and {{formula:2a61dd5d-27b3-48d2-bb76-80aa7592ed60}} imply that {{formula:e26885e8-700a-405b-b444-4dbd2b99808d}} for some real {{formula:53ccd7fd-c95f-4fe1-8308-7d79803f77c0}} , and therefore {{formula:ffe3290e-dfd5-4f49-973d-66b5efdeba7b}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	31	Furthermore, let {{formula:1be5be2e-9d8e-413e-819b-71fb80489552}} be a point in {{formula:41a23b1d-c2ec-4ce0-a21a-97bee6a21c3e}} where {{formula:118fa8cb-cf2a-4579-b5ab-72fc83aec070}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	32	Then {{formula:60928cf9-7d57-4766-b097-971100297b49}} and {{formula:138a2451-f78b-49e7-8f5e-3415911b592e}} imply that {{formula:f3a5ab2b-62e0-4568-83eb-30cde0e661c5}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	33	Thus {{formula:3e4e607b-6f16-497b-8440-75f9c8ae127f}} This is the proof of Beals et al. {{cite:2ff31b7d2c85795fb7aa3a59f30e11016425df62}} that quantum search requires {{formula:f8fedb86-cdab-4ba8-a231-73dc178e066d}} queries.	none	0.85	This sentence describes a proof, which is methodological context.		
quant-ph/0402095	gold	34	When proving a direct product theorem, we can no longer apply Theorem REF so straightforwardly.	none	0.85	This sentence describes a limitation in applying a theorem, but it is more of a methodological detail than a limitation of the study.		
quant-ph/0402095	gold	35	The reason is that the success probabilities in question are extremely small, and therefore the maximum derivative {{formula:9ad4f834-495d-420b-95e0-99501ad55bf7}} could also be extremely small.	none	0.85	This sentence describes a methodological challenge, but it is not a limitation of the study itself.		
quant-ph/0402095	gold	36	Fortunately, though, we can still prove a good lower bound on the degree of the relevant polynomial {{formula:360beb14-bb4d-4278-ac30-4e253a275920}} .	none	0.85	This sentence describes a methodological solution, which is not a limitation or future work.		
quant-ph/0402095	gold	37	The key is to look not just at the first derivative of {{formula:a2bccabb-28ec-4dc9-b8fd-bc33e7e941da}} , but at higher derivatives.	none	0.85	This sentence describes a methodological approach, which is not a limitation or future work.		
quant-ph/0402095	gold	38	To start, we need a lemma about the behavior of functions under repeated differentiation.	none	0.85	This sentence introduces a lemma, which is part of the methodological context.		
quant-ph/0402095	gold	39	Lemma 10 Let {{formula:ebba330b-d1e2-4c9d-8bb2-b46720de54c7}} be an infinitely differentiable function such that for some positive integer {{formula:5b2de980-f0c2-4bd9-bbbb-a13cd432ad7b}} , we have {{formula:1dac47b0-548f-440d-8946-5dbbb30fd316}} for all {{formula:33ad3be5-2902-4c88-87e1-6060862046b2}} and {{formula:c8a7ef21-dd02-40d2-b7de-c48874c3b00e}} .	none	0.85	This sentence states a lemma, which is part of the methodological context.		
quant-ph/0402095	gold	40	Also, let {{formula:8089f395-5c1b-4e59-8d9d-fef4d8352c4c}} , where {{formula:df52f919-3b2e-4d5e-9442-2daf95fb30db}} is the {{formula:ab98cbc4-7702-4133-bde8-524caca9d1c3}} derivative of {{formula:af010ae0-3b01-4b26-a7a2-d415d31a549e}} evaluated at {{formula:8f5048fe-7e8e-4b86-8333-e9629f6e2254}} (thus {{formula:1c483f35-0108-429e-9b67-31be29e3b750}} ).	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	41	Then {{formula:ef2f9a4f-e7a4-4044-805b-aabe7a21bc57}} for all {{formula:001ea30a-bdeb-469e-921f-19f8f9c8d671}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	42	We claim, by induction on {{formula:6fd826e8-debb-491d-9210-0ca80de0b794}} , that there exist {{formula:8f931d09-dc53-43ac-bf8a-ea734e3b8ae5}} points {{formula:5470cc66-2cce-40af-9b32-daf91677e090}} such that {{formula:54e52f10-893e-46d8-bfe0-c71f86b89c43}} for all {{formula:24dcdda3-456b-437b-9580-a82190ada3e4}} and {{formula:49bdcb3e-3e84-4a49-abf4-e66300049cd9}} .	none	0.85	This sentence describes a mathematical claim, which is methodological context.		
quant-ph/0402095	gold	43	If we define {{formula:5901838c-399f-48c7-be8a-22f8561db5da}} , then the base case {{formula:101ec669-c41c-4976-8888-67576823ab0a}} is immediate from the conditions of the lemma.	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	44	Suppose the claim is true for {{formula:28e36360-fde3-4a0f-982e-483574491bd1}} ; then by elementary calculus, for all {{formula:5af019c5-5952-4898-b510-323834c95f3e}} there exists a point {{formula:952c89ef-abdd-4812-bb58-54de973c0685}} such that {{formula:e9161053-4d0f-4024-9fbe-bc56fdce0caa}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	45	Notice that {{formula:b65b0005-04ba-4780-a0b8-90564df153d6}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	46	So there is also a point {{formula:73e91a58-c6e2-4f1c-92cd-928075a3cff7}} such that {{formula:3cf14e0c-79a9-4858-9ee4-b37b598675f3}} With the help of Lemma REF , we can sometimes lower-bound the degree of a real polynomial even its first derivative is small throughout the region of interest.	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	47	To do so, we use the following generalization of A.	none	0.85	This sentence introduces a theorem, which is part of the methodological context.		
quant-ph/0402095	gold	48	Markov's inequality (Theorem REF ), which was proved by A.	none	0.85	This sentence introduces a theorem, which is part of the methodological context.		
quant-ph/0402095	gold	49	Markov's younger brother V.	none	0.85	This sentence introduces a theorem, which is part of the methodological context.		
quant-ph/0402095	gold	50	Markov in 1892 ({{cite:265052e286ae71b724e5427abd19e7d989557fc0}}; see also {{cite:2aee7715d677ba1aa57f4a27c86619d3b4da385d}}).	none	0.85	This sentence introduces a theorem, which is part of the methodological context.		
quant-ph/0402095	gold	51	Markov) Given a real polynomial {{formula:1805658e-8ba7-4a1e-a9d1-0ab1c1a0dda6}} of degree {{formula:9070e8e4-f40f-4e4f-9077-ad426efbae40}} and positive real number {{formula:33f40de6-a7f0-437b-a1aa-d6b59f31382b}} , let {{formula:d41a8030-7893-4941-9cc1-39fd85d8de3b}} .	none	0.85	This sentence states a theorem, which is part of the methodological context.		
quant-ph/0402095	gold	52	Then for all {{formula:06545071-1bee-4a5c-90f6-5d5c89e08448}} , {{formula:e3eb8748-6037-4234-8dec-da7b911dc5b2}} Here {{formula:0361585d-2b16-47e1-8513-bb0c0a33ef44}} is the {{formula:3e5cca20-2e27-465f-a61b-b52bcd37e86a}} Chebyshev polynomial of the first kind.	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	53	As we demonstrate below, combining Theorem REF with Lemma REF yields a lower bound on {{formula:30baff9e-3745-430d-8f0b-449a49460c2e}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	54	Lemma 12 Let {{formula:b58a9daa-4440-42f0-bb5a-7f75dfbba11a}} be a real polynomial such that {{formula:ae9cbe54-7fba-498f-a671-57513a9ba050}} at all integer points {{formula:01428436-0f11-4523-b828-9aedd4441469}} , and for some positive integer {{formula:9275e5c2-3f02-45d1-a1f7-e48cb7c75ae7}} and real {{formula:3aa77e51-7ee9-4409-a1e2-fd48c8d77f89}} , we have {{formula:bf51f958-2618-43c4-b638-0f5696f2a1c3}} and {{formula:938421f0-9643-4703-9d63-3c79b575b0c4}} for all {{formula:719ebc66-49e0-4783-8adc-fbcc310fca1c}} .	none	0.85	This sentence introduces a lemma, which is part of the methodological context.		
quant-ph/0402095	gold	55	Then {{formula:7b7253d6-8f49-41a4-92bd-168b057882b5}} .	none	0.85	This sentence states a lemma, which is part of the methodological context.		
quant-ph/0402095	gold	56	Let {{formula:735d2037-dffb-4c1e-bbff-1a3c73882bf4}} and {{formula:00f0315f-5d6f-4f58-8a60-b1cf8c91cc50}} be as in Theorem REF .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	57	Then for all {{formula:7908452e-d831-4f77-a64f-ab3ddf2c3781}} , Theorem REF yields {{formula:f8eb0180-a6fa-4279-ad06-f7bcc18c43eb}} Rearranging, {{formula:84231cc7-5c5a-4ea4-9b70-60dc46cae941}} for all {{formula:560a04e1-78e2-4634-8d75-e8e2114c7a75}} (if {{formula:d67da51e-07b6-4a90-9722-c0f5a0fc1b43}} then {{formula:fd8bbc77-ddad-4f0a-ad88-99668c1cf5b3}} so the bound is trivial).	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	58	There are now two cases.	none	0.85	This sentence introduces a case analysis, which is part of the methodological context.		
quant-ph/0402095	gold	59	First suppose {{formula:e7b1df92-5769-4d14-93a1-f118646f4c67}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	60	Then as discussed previously, condition (i) implies that {{formula:377edda7-ae33-47af-bb38-616a8519519f}} , and hence that {{formula:41e9ce08-a409-4988-a998-28dfb10e2a66}} by Theorem REF .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	61	Next suppose {{formula:c2be61b1-c34d-4419-a711-efe5c6e34e1c}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	62	Then {{formula:bd74feca-deee-48cf-a6cc-08233c3a6c7c}} for all {{formula:b783552a-05b4-4b4d-b5b3-da2f054be90d}} by Lemma REF .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	63	So setting {{formula:84536c70-9d0b-45c5-8e38-cd9b177578ab}} yields {{formula:1216aadf-fb57-4d2c-8c0c-520c0fde35e0}} Either way we are done.	none	0.85	This sentence concludes a mathematical argument, which is methodological context.		
quant-ph/0402095	gold	64	Strictly speaking, we do not need the full strength of Theorem REF to prove a lower bound on {{formula:077060f7-891c-45f5-8649-3f01193fa190}} that suffices for an oracle separation between {{formula:e1b14d53-8a6b-406a-93a5-deed06412603}} and {{formula:6a360757-ab9b-485a-8cd2-19669983faf7}} .	none	0.85	This sentence describes a methodological detail, which is not a limitation or future work.		
quant-ph/0402095	gold	65	For we can show a “rough-and-ready” version of V.	none	0.85	This sentence describes a methodological approach, which is not a limitation or future work.		
quant-ph/0402095	gold	66	Markov's inequality by applying A.	none	0.85	This sentence describes a methodological approach, which is not a limitation or future work.		
quant-ph/0402095	gold	67	Markov's inequality (Theorem REF ) repeatedly, to {{formula:8b9c2dcf-d773-47f7-9594-b578a226ec30}} and so on.	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	68	This yields {{formula:39a75fcf-a757-4635-9090-8858e8b601ca}} for all {{formula:ab5e6844-2332-41be-9b26-84feee2c4346}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	69	If {{formula:3fa8fca0-3293-4128-a3e5-a54e5d04712b}} is small, then this upper bound on {{formula:9d2b34cb-ad2f-43fd-9bb0-84e5c7d62389}} contradicts the lower bound of Lemma REF .	none	0.85	This sentence describes a methodological implication, which is not a limitation or future work.		
quant-ph/0402095	gold	70	However, the lower bound on {{formula:76e6fa0b-08cd-48d0-940c-60ca8dd009b0}} that one gets from A.	none	0.85	This sentence describes a methodological implication, which is not a limitation or future work.		
quant-ph/0402095	gold	71	Markov's inequality is only {{formula:d8ab2e52-6301-4ec2-a4d2-5a8c21a8cf57}} , as opposed to {{formula:927e7741-0adf-44a5-a138-0aedab2459e9}} from Lemma REF .An earlier version of this paper claimed to prove {{formula:572d4a6f-3559-4ce6-81dd-036b2e50b6aa}} , by applying Bernstein's inequality {{cite:04c66e8bea656d2a387c6a95e59b282bb5de3285}} rather than A.	limitation	0.95	The sentence describes a flaw in a previous argument, indicating a limitation in the prior work.		
quant-ph/0402095	gold	72	Markov's to all derivatives {{formula:2f703474-8750-4fb7-945f-7d7d285c0721}} .	none	0.85	This sentence describes a methodological approach, which is not a limitation or future work.		
quant-ph/0402095	gold	73	We have since discovered a flaw in that argument.	limitation	0.95	The sentence acknowledges a flaw in a previous argument, indicating a limitation in the prior work.		
quant-ph/0402095	gold	74	In any case, the Bernstein lower bound is both unnecessary for an oracle separation, and superseded by the later results of Klauck et al. {{cite:06463ca2447dbe41a8c68e403f92ac00ac00372c}}.	none	0.85	This sentence describes the irrelevance of a previous result, which is not a limitation or future work.		
quant-ph/0402095	gold	75	Shortly after seeing our proof of a weak direct product theorem, Klauck, Špalek, and de Wolf {{cite:06463ca2447dbe41a8c68e403f92ac00ac00372c}} managed to improve the lower bound on {{formula:507b4d7a-7468-40f7-9fec-c76f492c9fe5}} to the essentially tight {{formula:c1a99a0d-6d45-4dab-9acb-0f8a1ca41e36}} .	none	0.85	This sentence describes an improvement by other researchers, which is not a limitation or future work.		
quant-ph/0402095	gold	76	In particular, their bound implies that {{formula:921dd733-b13f-4817-b5b5-83efb38dc80e}} decreases exponentially in {{formula:1cf8a6b1-bd32-4851-a291-c3c043d28cd1}} whenever {{formula:6ae42906-a6af-49f3-9fb9-d95419d7e3e1}} .	none	0.85	This sentence describes the implications of an improvement, which is not a limitation or future work.		
quant-ph/0402095	gold	77	They obtained this improvement by factoring {{formula:035e6f49-0f7e-4219-a898-aad851e80c3a}} instead of differentiating it as in Lemma REF .	none	0.85	This sentence describes a methodological improvement, which is not a limitation or future work.		
quant-ph/0402095	gold	78	In any case, a direct product theorem follows trivially from what has already been said.	none	0.85	This sentence concludes a mathematical argument, which is methodological context.		
quant-ph/0402095	gold	79	Theorem 13 (Direct Product Theorem) Suppose a quantum algorithm makes {{formula:0c207140-ced8-4b46-a37e-cdeac9b400ed}} queries to an oracle string {{formula:65097db3-61b4-402e-b4e2-688d853c7724}} .	none	0.85	This sentence states a theorem, which is part of the methodological context.		
quant-ph/0402095	gold	80	Let {{formula:e8ad5278-3951-4b17-aa9c-571c57ca0513}} be the minimum probability, over all {{formula:e8273f92-1a80-44d5-84e0-45fc14086cb3}} with Hamming weight {{formula:998bfa19-91a4-48b4-bf87-0e5be76897bd}} , that the algorithm finds all {{formula:6eb45aa1-7050-4cb3-a485-ced7830e290d}} of the `1' bits.	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	81	Then {{formula:ac47f59e-5517-47c5-b92d-80743b847b8d}} for some constant {{formula:838c6ca5-04e5-48d0-87b8-58ddb3352501}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	82	Have the algorithm accept if it finds {{formula:14ff19ff-5df3-4d89-a91b-09c78ee59f29}} or more `1' bits and reject otherwise.	none	0.85	This sentence describes a methodological approach, which is not a limitation or future work.		
quant-ph/0402095	gold	83	Let {{formula:d7dbe219-4371-4557-9825-5360d0690008}} be the expected probability of acceptance if {{formula:7c42566b-1da3-4945-8dc5-ff5fc5bb4a54}} is drawn uniformly at random subject to {{formula:d0e86922-0d63-439a-ae04-ccfbcc76809d}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	84	Then we know the following about {{formula:48e65fd4-5dda-414a-aa38-4239084da961}} : {{formula:d7c3f846-fc00-4008-87d9-da4fb8a62291}} at all integer points {{formula:9b90dad7-6221-46da-9b6a-b94c622256b1}} , since {{formula:9e8525e9-366c-4542-8c1c-e797e35d4f74}} is a probability.	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	85	{{formula:4aab6702-e939-4481-84a7-14941c9a3497}} for all {{formula:b51032b0-071b-4e44-a84d-17f63041c35d}} , since there are not {{formula:d30b902f-f7b5-4962-8cac-1c515b4dfed6}} marked items to be found.	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	86	{{formula:b201fc28-262d-4e00-912d-f0b52c4de39f}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	87	Furthermore, Lemma REF implies that {{formula:8de2021b-e8c1-4142-b64e-d132abfa4e4b}} is a polynomial in {{formula:68d6e70b-e30c-4f13-84a4-4d9c5c4b70a2}} satisfying {{formula:f6686479-8a65-4b09-a2b5-fe08630531f5}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	88	It follows from Lemma REF that {{formula:15971703-986d-4f71-9659-c4b051d2c9bf}} , or rearranging, that {{formula:39a6707d-2bc6-4b75-89dc-ad2af7874a2e}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	89	We can now prove the desired oracle separation using standard complexity theory tricks.	none	0.85	This sentence describes a methodological approach, which is not a limitation or future work.		
quant-ph/0402095	gold	90	Theorem 14 There exists an oracle relative to which {{formula:19c245c0-cdc8-4b42-8112-afc654b0bc19}} .	none	0.85	This sentence states a theorem, which is part of the methodological context.		
quant-ph/0402095	gold	91	Given an oracle {{formula:4ce4faba-efa6-4656-aa52-9c5a35477eb2}} , define the language {{formula:ec7961c1-1aef-46b6-9a31-6c9b0b353b9d}} by {{formula:97b3a3c5-75af-421d-beab-c454dbdaee2d}} if and only if {{formula:d5d685d2-2c19-4d85-ad1a-5c7c57bd5ce4}} lexicographically and there exists an {{formula:a9802f84-8245-4a5e-8937-4f64a2456a4d}} such that {{formula:49e9c1f4-e60a-4522-89d2-31c2e3d83c4d}} and {{formula:6c2c22c0-b45d-49ba-aa53-a444b4bdebb2}} .	none	0.85	This sentence describes a methodological approach, which is not a limitation or future work.		
quant-ph/0402095	gold	92	Clearly {{formula:1bf9ce82-d71d-4054-96fd-88e6de129165}} for all {{formula:abe620d4-b587-426f-814c-d4d2855a7a24}} .	none	0.85	This sentence describes a mathematical implication, which is methodological context.		
quant-ph/0402095	gold	93	We argue that for some {{formula:3f4d0783-820e-43a2-91f8-b9ad7c8c7b7b}} , no {{formula:5f23cb32-c6fa-4df3-ab10-d3d484b98a44}} machine {{formula:88122c35-a241-4b1e-9386-ce7791c86d38}} with oracle access to {{formula:083d5bdc-4b33-4dfd-984e-7804a42f7f11}} can decide {{formula:b4ee96e7-09bc-4d3d-8178-3a77859b3a41}} .	none	0.85	This sentence describes a methodological approach, which is not a limitation or future work.		
